Date,compound_polarity_scores
2017-01-18,0.3612
2017-01-19,-0.1343
2017-01-20,-0.1343
2017-01-21,-0.1343
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.1243
2017-02-17,0.1243
2017-02-18,0.1243
2017-02-19,0.1243
2017-02-20,0.1243
2017-02-21,0.1243
2017-02-22,0.1243
2017-02-23,0.1779
2017-02-24,0.1779
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.38885
2017-03-02,0.38885
2017-03-03,0.38885
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,-0.296
